,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length,,,,,,,,,,
current_language,English,русский,Português (Brasil),Español,Deutsch,Français,Italiano,Polska,简体中文,日本語,한국어,,,,,,,,,,,,,
booktitle00,Emerald Tablet - volume I,,,,,,,,,,,,doesn't need to be translated,,,,,,,,,,,
bookdesc00,"Tis true without lying, certain and most true.\nThat which is below is like that which is above\nand that which is above is like that which is below\nto do the miracles of one only thing.\nAnd as all things have been and arose from one by the mediation of one: \nso all things have their birth from this one thing by adaptation.",,,,,,,,,,,,doesn't need to be translated,,,,,,,,,,,
booktitle01,Emerald Tablet of Thoth,,,,,,,,,,,,doesn't need to be translated,,,,,,,,,,,
bookdesc01,"The necessity of concealing the Art is\none of the chief anxieties of alchemists. \nWe are sworn to secrecy by heaven and earth and hell,\nby the four elements, by the height and the depth,\nby Hermes, by Anubis,and by the howlings of Kerkoros.\nAn oath has been required of us to reveal\nnothing clearly to any uninitiated being.",,,,,,,,,,,,doesn't need to be translated,,,,,,,,,,,
booktitle02,Emerald Tablet - volume II,,,,,,,,,,,,doesn't need to be translated,,,,,,,,,,,
bookdesc02,"Thence is born a spirit white as snow, \nand another spirit red as blood,\nwhich two spirits are contained in a third hidden thing.",,,,,,,,,,,,doesn't need to be translated,,,,,,,,,,,
booktitle03,Emerald Tablet - volume III,,,,,,,,,,,,doesn't need to be translated,,,,,,,,,,,
bookdesc03,Heed my warning or death and decay will follow.,,,,,,,,,,,,doesn't need to be translated,,,,,,,,,,,
booktitle04,Emerald Tablet - volume IV,,,,,,,,,,,,doesn't need to be translated,,,,,,,,,,,
bookdesc04,"The definition of death is the disjunction of the composite, \nbut there is no disjunction of that which is simple, for it is one.\nDeath consists in the separation of the soul from the body,\nbecause anything formed out of two, three,\nor four components must disintegrate, and this is death.\nUnderstand, further, that no complex substance which lacks fire eats, \ndrinks, or sleeps, because in all things which have a spirit \nfire is that which eats.\n",,,,,,,,,,,,doesn't need to be translated,,,,,,,,,,,
booktitle05,Emerald Tablet - volume V,,,,,,,,,,,,doesn't need to be translated,,,,,,,,,,,
bookdesc05,"And the Lord spake, saying,\n'First shalt hou take out the Holy Pin.\nThen, shalt thou count to three. No more. No less.\nThree shalt be the number thou shalt count, \nand the number of the counting shall be three. \nFour shalt thou not count, neither count thou two,\nexcepting that thou then proceed to three.\nFive is right out. Once at the number three, \nbeing the third number be reached, then,\nlobbest thou thy Holy Hand Grenade of Antioch towards \nthy foe, who, being naughty in My sight, shall snuff it.'",,,,,,,,,,,,doesn't need to be translated,,,,,,,,,,,
booktitle06,Emerald Tablet - volume VI,,,,,,,,,,,,doesn't need to be translated,,,,,,,,,,,
bookdesc06,"Some Alchemists fancy that the work from beginning \nto end is a mere idle entertainment; but those who \nmake it so will reap what they have sown - nothing. \nWe know that next to the Divine Blessing,\nand the discovery of the proper foundation,\nnothing is so important as unwearied industry\nand perseverance in this First Operation.\nIt is no wonder, then, that so many students\nof this Art are reduced to beggary;\nthey are afraid of work, and look upon our Art as \nmere sport for their leisure moments. For no labour \nis more tedious than that which the preparatory part \nof our enterprise demands. \n",,,,,,,,,,,,doesn't need to be translated,,,,,,,,,,,
booktitle07,Emerald Tablet - volume VII,,,,,,,,,,,,doesn't need to be translated,,,,,,,,,,,
bookdesc07,"Among those who devote themselves to the transmutation of metals,\nhowever, there can be no such thing as mediocrity of attainment.\nA person who studies this Art, must have either everything or nothing.\nAn Alchemist who knows only half their craft, reaps nothing but disappointment \nand waste of time and money; moreover, they lay themselves open to the mockery \nof those who despise our Art. Those, indeed, who succeed in reaching the goal \nof the Magistery, have not only infinite riches, but the means of continued \nlife and health. Hence it is the most popular of all pursuits. ",,,,,,,,,,,,doesn't need to be translated,,,,,,,,,,,
booktitle08,Emerald Tablet - volume VIII,,,,,,,,,,,,doesn't need to be translated,,,,,,,,,,,
bookdesc08,"Woe unto all ye fools! \nHow ignorant are ye of this Art, for which ye would die if ye knew it! \nI swear to you that if kings were familiar with it, \nnone of us would ever attain this thing. \nO how this nature changeth body into spirit! \nO how admirable is Nature, how she presides over all, and overcomes all.\n",,,,,,,,,,,,doesn't need to be translated,,,,,,,,,,,
booktitle09,Emerald Tablet - volume IX,,,,,,,,,,,,doesn't need to be translated,,,,,,,,,,,
bookdesc09,"In this way, then, Nature generates by means of \nthis sulphur the different kinds of metals in the \nveins of the earth, according to the diversity of \ndegrees and alterations.\n",,,,,,,,,,,,doesn't need to be translated,,,,,,,,,,,
booktitle10,Emerald Tablet - volume X ,,,,,,,,,,,,doesn't need to be translated,,,,,,,,,,,
bookdesc10,"Take, he tells us, the stone of gold, combine with humour which is\npermanent water, set in its vessel, over a gentle fire until liquefaction\ntakes place. Then leave it until the water dries, and the sand and\nwater are combined, one with another;  then let the fire be more intense\nthan before, until it again becomes dry, and is made earth. When this is done,\nunderstand that here is the beginning of the arcanum;  but do this many times, \nuntil two-thirds of the water perish, and colours manifest unto you. ",,,,,,,,,,,,doesn't need to be translated,,,,,,,,,,,
booktitle_corpse,Tabula Smaragdina,,,,,,,,,,,,doesn't need to be translated,,,,,,,,,,,
bookdesc_corpse,"If all the mountains were of silver and gold, what would \nthey profit a man who lives in constant fear of death? \nHence there cannot be in the whole world anything better than our Medicine,\nwhich has power to heal all the diseases of the flesh.",,,,,,,,,,,,doesn't need to be translated,,,,,,,,,,,
booktitle_tree,Secretorum Hermetis,,,,,,,,,,,,doesn't need to be translated,,,,,,,,,,,
bookdesc_tree,The sacrifice of oneself to the pursuit of \nknowledge is the highest tribute to the gods.,,,,,,,,,,,,doesn't need to be translated,,,,,,,,,,,
menu_paused,PAUSED,ПРИОСТАНОВЛЕНО,PAUSADO,EN PAUSA,PAUSE,EN PAUSE,IN PAUSA,PAUZA,暂停,一旦停止,일시 정지,,,,,,,,,,,,,
menu_continue,Continue,Продолжить,Continuar,Reanudar,Weiter,Continuer,Continua,Kontynuuj,继续,続行,계속하기,,,,,,,,,,,,,
menu_options,Options,Параметры,Opções,Ajustes,Optionen,Options,Opzioni,Opcje,选项,オプション ,옵션,,,,,,,,,,,,,
menu_stats,Stats,Статистика,Estatísticas,Estadísticas,Statistiken,Statistiques,Statistiche,Statystyki,统计,統計,통계,,,,,,,,,,,,,
menu_progress,Progress,Прогресс,Progresso,Progreso,Fortschritt,Progression,Progressi,Postępy,进展,進行度,진행,,,,,,,,,,,,,
menu_releasenotes,Release Notes,Заметки о выпуске,Notas da versão,Notas del parche,Versionsinformationen,Notes de version,Note di rilascio,Informacje o wersji,发行说明,リリースノート,릴리즈 노트,,,,,,,,,,,,,
menu_credits,Credits,Авторы,Créditos,Créditos,Mitwirkende,Crédits,Riconoscimenti,Autorzy gry,制作组,クレジット,크레딧,,,,,,,,,,,,,
